item_name	detected_path	type	size	git_remote	git_commit	git_branch	archive_hash	usable	duplicate	selected_copy	notes
codespell-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl/licenses/dependencies/codespell-license.txt	documentation	18431					unknown	yes	no	rsl_rl; duplicate_name
furo-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl/licenses/dependencies/furo-license.txt	documentation	1095					unknown	no	yes	rsl_rl
gitpython-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl/licenses/dependencies/gitpython-license.txt	documentation	1530					unknown	no	yes	rsl_rl
numpy-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl/licenses/dependencies/numpy-license.txt	documentation	1573					unknown	yes	no	rsl_rl; duplicate_name
onnx-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl/licenses/dependencies/onnx-license.txt	documentation	11560					unknown	yes	no	rsl_rl; duplicate_name
onnxscript-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl/licenses/dependencies/onnxscript-license.txt	documentation	1094					unknown	no	yes	rsl_rl
pre-commit-hooks-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl/licenses/dependencies/pre-commit-hooks-license.txt	documentation	1111					unknown	yes	no	rsl_rl; duplicate_name
pre-commit-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl/licenses/dependencies/pre-commit-license.txt	documentation	1111					unknown	yes	no	rsl_rl; duplicate_name
pyright-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl/licenses/dependencies/pyright-license.txt	documentation	2351					unknown	yes	no	rsl_rl; duplicate_name
ruff-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl/licenses/dependencies/ruff-license.txt	documentation	21159					unknown	no	yes	rsl_rl
setuptools-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl/licenses/dependencies/setuptools-license.txt	documentation	1038					unknown	yes	no	rsl_rl; duplicate_name
sphinx-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl/licenses/dependencies/sphinx-license.txt	documentation	1432					unknown	yes	no	rsl_rl; duplicate_name
tensorboard-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl/licenses/dependencies/tensorboard-license.txt	documentation	11617					unknown	yes	no	rsl_rl; duplicate_name
tensordict-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl/licenses/dependencies/tensordict-license.txt	documentation	1119					unknown	yes	no	rsl_rl; duplicate_name
torch-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl/licenses/dependencies/torch-license.txt	documentation	3280					unknown	yes	yes	rsl_rl; duplicate_name
torchvision-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl/licenses/dependencies/torchvision-license.txt	documentation	1544					unknown	yes	no	rsl_rl; duplicate_name
CMakeLists.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/unitree_bringup/CMakeLists.txt	documentation	212					unknown	yes	no	unitree; duplicate_name
README.md	/mnt/infini-data/test/BeyondMimic/download/dependencies/unitree_bringup/README.md	documentation	1711					unknown	yes	no	unitree; duplicate_name
MID360_config.json	/mnt/infini-data/test/BeyondMimic/download/dependencies/unitree_bringup/config/g1/MID360_config.json	data_or_checkpoint	930					unknown	no	yes	unitree
config.json	/mnt/infini-data/test/BeyondMimic/download/dependencies/unitree_bringup/config/g1/glim/config.json	data_or_checkpoint	393					unknown	yes	no	unitree; duplicate_name
config_global_mapping_cpu.json	/mnt/infini-data/test/BeyondMimic/download/dependencies/unitree_bringup/config/g1/glim/config_global_mapping_cpu.json	data_or_checkpoint	837					unknown	no	yes	unitree
config_odometry_cpu.json	/mnt/infini-data/test/BeyondMimic/download/dependencies/unitree_bringup/config/g1/glim/config_odometry_cpu.json	data_or_checkpoint	1181					unknown	no	yes	unitree
config_preprocess.json	/mnt/infini-data/test/BeyondMimic/download/dependencies/unitree_bringup/config/g1/glim/config_preprocess.json	data_or_checkpoint	1406					unknown	no	yes	unitree
config_ros.json	/mnt/infini-data/test/BeyondMimic/download/dependencies/unitree_bringup/config/g1/glim/config_ros.json	data_or_checkpoint	2080					unknown	no	yes	unitree
config_sensors.json	/mnt/infini-data/test/BeyondMimic/download/dependencies/unitree_bringup/config/g1/glim/config_sensors.json	data_or_checkpoint	3100					unknown	no	yes	unitree
config_sub_mapping_cpu.json	/mnt/infini-data/test/BeyondMimic/download/dependencies/unitree_bringup/config/g1/glim/config_sub_mapping_cpu.json	data_or_checkpoint	964					unknown	no	yes	unitree
policy.onnx	/mnt/infini-data/test/BeyondMimic/download/dependencies/unitree_bringup/config/g1/policy.onnx	data_or_checkpoint	904936					unknown	yes	no	unitree; duplicate_name
go1_getup.onnx	/mnt/infini-data/test/BeyondMimic/download/dependencies/unitree_bringup/config/go1/go1_getup.onnx	data_or_checkpoint	761159					unknown	no	yes	unitree
