source_path	exists	category	size	sha256	recommended	notes
/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1/meshes/right_ankle_roll_link.STL	True	mesh	653784	4b66222ea56653e627711b56d0a8949b4920da5df091da0ceb343f54e884e3a5	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1/meshes/right_elbow_link.STL	True	mesh	88784	1be925d7aa268bb8fddf5362b9173066890c7d32092c05638608126e59d1e2ab	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1/meshes/right_elbow_link_merge.STL	True	mesh	3058284	e6def7100e5bbb276c7498c5b7a8c8812f560ca35d6bd09c376ebab93595be7f	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1/meshes/right_hand_index_0_link.STL	True	mesh	475984	12ab4300c95e437e834f9aef772b3b431c671bf34338930b52ad11aef73bbd0d	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1/meshes/right_hand_index_1_link.STL	True	mesh	1521784	c9c34efce4563cacdcfd29fc838a982976d40f5442c71219811dcbbf3923a33d	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1/meshes/right_hand_middle_0_link.STL	True	mesh	475984	12ab4300c95e437e834f9aef772b3b431c671bf34338930b52ad11aef73bbd0d	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1/meshes/right_hand_middle_1_link.STL	True	mesh	1521784	c9c34efce4563cacdcfd29fc838a982976d40f5442c71219811dcbbf3923a33d	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1/meshes/right_hand_palm_link.STL	True	mesh	2140184	86c0b231cc44477d64a6493e5a427ba16617a00738112dd187c652675b086fb9	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1/meshes/right_hand_thumb_0_link.STL	True	mesh	8884	544298d0ea1088f5b276a10cc6a6a9e533efdd91594955fdc956c46211d07f83	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1/meshes/right_hand_thumb_1_link.STL	True	mesh	475984	0a9a820da8dd10f298778b714f1364216e8a5976f4fd3a05689ea26327d44bf6	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1/meshes/right_hand_thumb_2_link.STL	True	mesh	1521784	3f1bfb37668e8f61801c8d25f171fa1949e08666be86c67acad7e0079937cc45	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1/meshes/right_hip_pitch_link.STL	True	mesh	181284	e4f3c99d7f4a7d34eadbef9461fc66e3486cb5442db1ec50c86317d459f1a9c6	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1/meshes/right_hip_roll_link.STL	True	mesh	192684	4c254ef66a356f492947f360dd931965477b631e3fcc841f91ccc46d945d54f6	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1/meshes/right_hip_yaw_link.STL	True	mesh	296284	e479c2936ca2057e9eb2f7dff6c189b7419d7b8484dea0b298cbb36a2a6aa668	False	
