motion_id,motion,sample_count,done_rate,ee_body_pos_rate,left_ankle_roll_link_pre_z_mean,left_ankle_roll_link_post_z_mean,left_ankle_roll_link_pre_exceed_rate,left_ankle_roll_link_post_exceed_rate,left_ankle_roll_link_pre_z_max,left_ankle_roll_link_post_z_max,right_ankle_roll_link_pre_z_mean,right_ankle_roll_link_post_z_mean,right_ankle_roll_link_pre_exceed_rate,right_ankle_roll_link_post_exceed_rate,right_ankle_roll_link_pre_z_max,right_ankle_roll_link_post_z_max,left_wrist_yaw_link_pre_z_mean,left_wrist_yaw_link_post_z_mean,left_wrist_yaw_link_pre_exceed_rate,left_wrist_yaw_link_post_exceed_rate,left_wrist_yaw_link_pre_z_max,left_wrist_yaw_link_post_z_max,right_wrist_yaw_link_pre_z_mean,right_wrist_yaw_link_post_z_mean,right_wrist_yaw_link_pre_exceed_rate,right_wrist_yaw_link_post_exceed_rate,right_wrist_yaw_link_pre_z_max,right_wrist_yaw_link_post_z_max,wrist_pre_exceed_rate,ankle_pre_exceed_rate,wrist_minus_ankle_pre_exceed_rate
23,run1_subject5,17844,0.14189643577673167,0.11572517372786371,0.065716111043694,0.07290584546380452,0.0165321676754091,0.03463349024882313,0.4304581582546234,0.7911906242370605,0.025853206047078862,0.02990782062552921,0.0,0.009134723156242995,0.2386305034160614,0.5930172801017761,0.1338206199543729,0.13667471915887652,0.013898229096615108,0.03239184039453037,0.4943661093711853,0.90131676197052,0.08920910811676784,0.09115178307580576,0.0026339385787939925,0.012553239184039453,0.4489562511444092,0.9608321189880371,0.013898229096615108,0.0165321676754091,-0.0026339385787939925
24,run2_subject1,16643,0.11380159826954275,0.09313224779186445,0.042912562723184645,0.046771101515133785,0.02884095415489996,0.030703599110737247,0.5940007567405701,0.8191055655479431,0.018264661853474824,0.021825597559666,0.0012017064231208316,0.006909811932944781,0.3010048270225525,0.5897420048713684,0.12032396593310472,0.12462428624828525,0.005888361473292075,0.026798053235594543,0.6089497804641724,0.3770188093185425,0.09459103201148043,0.09324055679202016,0.004626569729015202,0.015021330289010395,0.5808526277542114,0.5492051839828491,0.005888361473292075,0.02884095415489996,-0.022952592681607886
25,run2_subject4,20764,0.24696590252359854,0.22264496243498363,0.08353757559153353,0.08665185241998204,0.06048930841841649,0.06361972644962435,0.6170768737792969,0.8130318522453308,0.04403287526645287,0.04503705606456222,0.018638027355037563,0.021961086495858217,0.46931421756744385,0.5830460786819458,0.13540565461046639,0.13638885766325187,0.0649200539395107,0.057214409554999034,0.34467005729675293,0.8788517713546753,0.06563558167826576,0.07574704309063905,0.005153149682142169,0.026199190907339628,0.5492051839828491,0.9892321825027466,0.0649200539395107,0.06048930841841649,0.004430745521094209
26,sprint1_subject2,17101,0.15496169814630723,0.11326822992807438,0.07638289837653432,0.08038443275452581,0.02865329512893983,0.041576515993216774,0.46567970514297485,0.8047158122062683,0.03537140333594028,0.03764838221180189,0.0,0.007952751301093504,0.2442636787891388,0.5920175313949585,0.13595648882375266,0.13885324863507506,0.013391029764341266,0.037424712005145896,0.35813093185424805,0.6757125854492188,0.09041647604596342,0.08817274157239097,0.008128179638617625,0.01736740541488802,0.41287118196487427,0.6273201704025269,0.013391029764341266,0.02865329512893983,-0.015262265364598564
27,sprint1_subject4,13590,0.24547461368653423,0.22869757174392935,0.03514622289912173,0.06534038007305969,0.002501839587932303,0.0637233259749816,0.3792150914669037,0.8348147869110107,0.01998685799097756,0.029603105392156277,0.0,0.013833701250919794,0.16495658457279205,0.5832127928733826,0.17273418989534148,0.1603775011541389,0.09823399558498896,0.056291390728476824,0.6757125854492188,0.9105356931686401,0.08588809246434456,0.09155285947183812,0.010963944076526858,0.023693892568064753,0.6273201704025269,0.9245591163635254,0.09823399558498896,0.002501839587932303,0.09573215599705666
28,walk1_subject1,20866,0.1674973641330394,0.1442058851720502,0.0452657887026729,0.0628227002023908,0.004409086552286016,0.043563692130739004,0.4046280086040497,0.8232775926589966,0.023854242113845483,0.029943668144533416,0.0,0.010160069011789515,0.17507822811603546,0.5930377840995789,0.13537262958716104,0.13285500489887314,0.033978721364899836,0.039250455286111374,0.6746240854263306,0.703586220741272,0.0756252606871669,0.08101894698417919,0.0025400172529473786,0.017348797086168887,0.5847762227058411,0.6290246248245239,0.033978721364899836,0.004409086552286016,0.02956963481261382
29,walk1_subject2,19216,0.12187760199833472,0.09086178184845961,0.07598989897050494,0.08078765348499511,0.010616153205661949,0.031796419650291424,0.37955233454704285,0.8108867406845093,0.03523885192406549,0.037664480415288415,0.0,0.007389675270607827,0.24973517656326294,0.5903312563896179,0.1154164854750397,0.12172430763478631,0.008118234804329725,0.026436303080766027,0.646670937538147,0.8701329231262207,0.10335390828704953,0.09952662289949082,0.014415070774354704,0.013322231473771857,0.6290246248245239,0.9957668781280518,0.014415070774354704,0.010616153205661949,0.003798917568692755
30,walk1_subject5,16509,0.18626203888787934,0.15670240474892483,0.06627355177884922,0.07849695369002369,0.019141074565388577,0.04742867526803562,0.4177546501159668,0.8319157958030701,0.024676600079068453,0.029915473848744687,0.0,0.010539705615119027,0.24328207969665527,0.5774904489517212,0.14518921009646069,0.1430712622043777,0.04391544006299594,0.04022048579562663,0.6210472583770752,0.8958170413970947,0.09233802315273062,0.09368314568712216,0.005572717911442243,0.017445029983645284,0.4509326219558716,0.9792826175689697,0.04391544006299594,0.019141074565388577,0.024774365497607365
31,walk2_subject1,19587,0.10767345688466841,0.07770459998978915,0.0482422913011336,0.05703864261831695,0.004390667279317915,0.027620360443151068,0.539332389831543,0.783507227897644,0.02091707921340965,0.02454412265107254,0.0,0.006330729565528157,0.14363685250282288,0.589697003364563,0.13686839642407622,0.137000843373607,0.011793536529330679,0.024301832848317762,0.5817683935165405,0.8772103190422058,0.10341147758690865,0.0987231214830556,0.004033287384489713,0.010159799867258896,0.5763044357299805,0.9426823854446411,0.011793536529330679,0.004390667279317915,0.007402869250012763
32,walk2_subject3,14063,0.10772950295100618,0.09130342032283296,0.01682554904263156,0.030053768724585626,0.0,0.02645239280381142,0.20489084720611572,0.8055040240287781,0.033457969699653894,0.03678531268527974,0.0,0.007964161274265804,0.245559960603714,0.579717755317688,0.11894526849860768,0.1283699373919857,0.004195406385550736,0.025670198392946028,0.5521864295005798,0.7028495073318481,0.0765603911162084,0.07705795955174358,0.003128777643461566,0.011946241911398706,0.5015888214111328,0.5541695952415466,0.004195406385550736,0.0,0.004195406385550736
33,walk2_subject4,13648,0.3733880422039859,0.34950175849941384,0.03143899745809008,0.07960691151279052,0.0004396248534583822,0.09539859320046894,0.28730374574661255,0.8215848803520203,0.014456370762322241,0.029155615090467865,0.0,0.023007033997655333,0.17183220386505127,0.5890287160873413,0.17708619554491073,0.14443255307050237,0.2627491207502931,0.0740767878077374,0.7028495073318481,0.7018979787826538,0.08254556150196375,0.09330528314254855,0.010331184056271982,0.03150644783118406,0.5541695952415466,0.6169825792312622,0.2627491207502931,0.0004396248534583822,0.2623094958968347
34,walk3_subject1,13007,0.0851080187591297,0.039363419697086184,0.04377234781088919,0.05089458008735348,0.0009994618282463288,0.021065580072268778,0.3204023241996765,0.7775874137878418,0.021047323431521527,0.023992892793358457,0.0,0.005151072499423388,0.1658795326948166,0.5866191387176514,0.10870715809187351,0.11213231964968073,0.003997847312985315,0.018682248020296763,0.5061042904853821,0.5486096739768982,0.11300750173576204,0.10828881129476965,0.001845160298300915,0.010455908357038518,0.40523678064346313,0.5064079761505127,0.003997847312985315,0.0009994618282463288,0.0029983854847389865
35,walk3_subject2,16789,0.1449163142533802,0.1000059562808982,0.08430401618443831,0.08866282866009507,0.0014295074155697182,0.03579724819822503,0.3126070499420166,0.792534589767456,0.05630186526473698,0.05419952782284007,0.0007147537077848591,0.008338793257490023,0.27485391497612,0.5975377559661865,0.11201730113840634,0.11942655392436247,0.0049437131455119425,0.034963368872476024,0.5486096739768982,0.8951756954193115,0.12748900129729893,0.1140745514819078,0.05694204538686044,0.01596283280719519,0.5064079761505127,0.979202151298523,0.05694204538686044,0.0014295074155697182,0.05551253797129072
36,walk3_subject3,19301,0.21563649551836692,0.17532770322781202,0.0845411114173089,0.07731376562355748,0.07813066680482876,0.05502305580021761,0.5998550057411194,0.8456470966339111,0.040785524697574696,0.0430404235278394,0.0,0.013004507538469509,0.24245455861091614,0.5868570804595947,0.12682735853711286,0.136288648683644,0.0070980778198020825,0.04554168177814621,0.6403127312660217,0.5586643815040588,0.1326571807445167,0.10899903466865675,0.099787575773276,0.023055800217605307,0.5072860717773438,0.6379001140594482,0.099787575773276,0.07813066680482876,0.02165690896844724
37,walk3_subject4,15996,0.2105526381595399,0.18079519879969994,0.06134004711966927,0.0818561430610381,0.00918979744936234,0.053513378344586145,0.5891926288604736,0.8055709004402161,0.03041104714717566,0.03786610495545963,0.0,0.012378094523630907,0.24275895953178406,0.5956554412841797,0.12861358184878843,0.1180537253763563,0.1159039759939985,0.04369842460615154,0.4358810782432556,0.9111813306808472,0.09057518820832389,0.09576742828151276,0.0029382345586396598,0.02019254813703426,0.2703261375427246,0.971208930015564,0.1159039759939985,0.00918979744936234,0.10671417854463616
38,walk3_subject5,10083,0.4991569969255182,0.4948923931369632,0.22904312981566563,0.10948801326096134,0.3700287612813647,0.12268174154517504,0.8324313759803772,0.8142517805099487,0.06459625162680058,0.03433642443260255,0.0669443617970842,0.02737280571258554,0.3691123425960541,0.5935128927230835,0.13018736575764228,0.1521129823358809,0.07200238024397501,0.10473073490032728,0.5262570977210999,0.9084308743476868,0.1575026222930758,0.08878346010384952,0.2724387583060597,0.042348507388674,0.5401798486709595,0.9859364032745361,0.2724387583060597,0.3700287612813647,-0.09759000297530501
39,walk4_subject1,10918,0.10478109543872505,0.06118336691701777,0.07642985155618623,0.07890997216191445,0.01987543506136655,0.026744825059534714,0.6803291440010071,0.8446656465530396,0.023462933801076342,0.027437284835847137,0.0,0.005953471331745741,0.18106427788734436,0.5952919125556946,0.11322279549885372,0.11708127343244093,0.002839347865909507,0.02069976186114673,0.3796050548553467,0.6993978023529053,0.10050282004301442,0.09524200900018838,0.00210661293277157,0.008243267997801795,0.28623270988464355,0.45812124013900757,0.002839347865909507,0.01987543506136655,-0.017036087195457045
