relative_path	kind	category	size_bytes	sha256	paper_level	debug_only
res/released_figures/adaptive_sampling/adaptive_sampling_probability_evolution_heatmap.png	png	released_data_figure	170767	70c53106f017035a7190aed486800dfe1add8dcc56a61168bbff0c7712ce586e	True	False
res/released_figures/adaptive_sampling/adaptive_sampling_probability_evolution_heatmap.svg	svg	released_data_figure	94100	bdcfb62ca7a3668f02056625ad9a82002b7c33abc8065738fc944a8da59df4d8	True	False
res/released_figures/adaptive_sampling/adaptive_sampling_probability_snapshots_90_130.pdf	pdf	released_data_figure	24625	815c2dcfca136b653f4dc47eab89e3e4d1aea0e88b56d45e09dbdfca77337f6c	True	False
res/released_figures/adaptive_sampling/adaptive_sampling_probability_snapshots_90_130.png	png	released_data_figure	200264	d705cd5a2f85837997a48c1ae6a2fa93de9cf573c921cc41960b6021475046c9	True	False
res/released_figures/adaptive_sampling/adaptive_sampling_probability_snapshots_90_130.svg	svg	released_data_figure	216133	f0690a13a641865bddb93a19964a3b26239e2b18ec31858d422a52388e45e714	True	False
res/released_figures/adaptive_sampling/adaptive_sampling_w_iter_matrix.pdf	pdf	released_data_figure	15819	ed0505d0fdbc86d42dd4963422f030f22ea2563940a6ce675329c0b02d63a751	True	False
res/released_figures/adaptive_sampling/adaptive_sampling_w_iter_matrix.png	png	released_data_figure	59549	2f04741f3ac7981c39ddd30710b295610e9cedad3d279698a4d7ab1badcfe637	True	False
res/released_figures/adaptive_sampling/adaptive_sampling_w_iter_matrix.svg	svg	released_data_figure	36207	40b948b66acadca1c0f43052861edc7ffa3a38de83e6983643465b2db2418650	True	False
res/released_figures/adaptive_sampling/adaptive_sampling_wo_iter_matrix.pdf	pdf	released_data_figure	15833	8f8100302c10dc5db6f9bc8e90f6c1eedd0a5600688779d4ec8a185317943d77	True	False
res/released_figures/adaptive_sampling/adaptive_sampling_wo_iter_matrix.png	png	released_data_figure	60254	889748060d0023b88ebd7a4ce07c439426c6d20caa66865f9f24f9d6a2b793e6	True	False
res/released_figures/adaptive_sampling/adaptive_sampling_wo_iter_matrix.svg	svg	released_data_figure	36373	3fe3a38ecabeeba278b50812936e63e9cf27c38a3a89c81b24e1667a7557ec3c	True	False
res/released_figures/grf_run_human_reference/grf_run_human_reference.pdf	pdf	released_data_figure	17244	65b217073093a6b4fb0277d1214201ecb65ee64294bf50bf562488c25c3d6ccf	True	False
res/released_figures/grf_run_human_reference/grf_run_human_reference.png	png	released_data_figure	83123	636f09d21b6f44a9a00534eb216b42a959f627a1cb32d01cb36fabb4dbc8ad27	True	False
res/released_figures/grf_run_human_reference/grf_run_human_reference.svg	svg	released_data_figure	38248	a002eaffba14f7ff6cfc565f916ea58f5adcb74d9495ae987971a5d054e11744	True	False
res/released_figures/grf_run_robot_real/grf_run_robot_real.pdf	pdf	released_data_figure	22135	94ebb5cabc925a7f7b11e78b829ffe271b90f255e69703a507a2520e5c30930d	True	False
res/released_figures/grf_run_robot_real/grf_run_robot_real.png	png	released_data_figure	142280	bec62686412a7a4ea0877ff464d82084ac391fd10ab1b28f435cbdd47c1659cb	True	False
res/released_figures/grf_run_robot_real/grf_run_robot_real.svg	svg	released_data_figure	54484	607a53487f32989dc0589b400891e51657328e0a6d08cc9613d40dc89632e34d	True	False
res/released_figures/grf_walk_human_reference/grf_walk_human_reference.pdf	pdf	released_data_figure	22792	c1a8a935b559c6c89288ec04796df2b926d24fef20906512d1ddee1ab531fbd7	True	False
res/released_figures/grf_walk_human_reference/grf_walk_human_reference.png	png	released_data_figure	143262	e0b382ca598302f64f75f16a1ce4491e43b8454aef8750759a9c4315f43c0f71	True	False
res/released_figures/grf_walk_human_reference/grf_walk_human_reference.svg	svg	released_data_figure	55226	8a232bd2aa91fc958129a903e9d805c821abb93b63cdcb57822e2ed761d9d3cf	True	False
