log_path,size_bytes,modified_time
logs/tracking_g1_current_task_env_construction_gate/cfg_only_fk_repaired.log,9381,2026-06-21T11:44:21.282663
logs/tracking_g1_current_task_env_construction_gate/cfg_only_official.log,9435,2026-06-21T11:38:43.561066
logs/tracking_g1_current_task_env_construction_gate/gym_make_only_fk_repaired.log,16321,2026-06-21T11:43:43.407215
logs/tracking_g1_current_task_env_construction_gate/gym_make_only_official.log,16172,2026-06-21T11:39:07.546160
logs/tracking_g1_enriched_usd_bounded_replay_metrics/walk1_subject1_64step_resource_adjusted_replay_metrics.log,10454,2026-06-18T22:56:45.266812
logs/tracking_g1_enriched_usd_replay_preflight/enriched_usd_replay_preflight.log,9088,2026-06-18T22:51:19.092442
logs/tracking_g1_official_csv_loop_action_guidance_rollout_eval/tracking_g1_official_csv_loop_action_guidance_rollout_eval.log,21315,2026-06-19T15:20:03.676646
logs/tracking_g1_official_csv_loop_full_bundle_policy_rollout_video_capture/tracking_g1_official_csv_loop_policy_rollout_video_capture.log,19387,2026-06-20T11:25:04.194185
logs/tracking_g1_official_csv_loop_full_bundle_policy_rollout_video_capture_wrapper.log,374,2026-06-20T11:21:22.767008
logs/tracking_g1_official_csv_loop_full_bundle_policy_rollout_video_capture_wrapper_retry.log,800,2026-06-20T11:26:20.235388
logs/tracking_g1_official_csv_loop_full_bundle_policy_rollout_worker_manual_debug.log,867,2026-06-20T11:22:14.123745
logs/tracking_g1_official_csv_loop_full_bundle_ppo_checkpoint_eval/tracking_g1_resource_adjusted_ppo_checkpoint_eval.log,18392,2026-06-20T03:24:21.004275
logs/tracking_g1_official_csv_loop_full_bundle_ppo_training_run/tracking_g1_resource_adjusted_ppo_training_run.log,607843,2026-06-20T03:12:55.243156
logs/tracking_g1_official_csv_loop_full_bundle_receding_latent_guidance_rollout_eval/tracking_g1_official_csv_loop_receding_latent_guidance_rollout_eval.log,23225,2026-06-20T05:04:28.702487
logs/tracking_g1_official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/composed/tracking_g1_official_csv_loop_receding_latent_guidance_rollout_eval.log,23370,2026-06-20T12:04:58.832549
logs/tracking_g1_official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/joystick/tracking_g1_official_csv_loop_receding_latent_guidance_rollout_eval.log,23370,2026-06-20T11:43:18.801893
logs/tracking_g1_official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/obstacle_avoidance/tracking_g1_official_csv_loop_receding_latent_guidance_rollout_eval.log,23410,2026-06-20T11:57:47.468638
logs/tracking_g1_official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/seed_group_1_process.log,6763,2026-06-20T12:06:37.668364
logs/tracking_g1_official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_1/waypoint/tracking_g1_official_csv_loop_receding_latent_guidance_rollout_eval.log,23370,2026-06-20T11:50:25.776021
logs/tracking_g1_official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/composed/tracking_g1_official_csv_loop_receding_latent_guidance_rollout_eval.log,23370,2026-06-20T12:33:45.425327
logs/tracking_g1_official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/joystick/tracking_g1_official_csv_loop_receding_latent_guidance_rollout_eval.log,23370,2026-06-20T12:12:07.206697
logs/tracking_g1_official_csv_loop_full_bundle_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/obstacle_avoidance/tracking_g1_official_csv_loop_receding_latent_guidance_rollout_eval.log,23410,2026-06-20T12:26:26.875033
