sample_id	source_motion	sequence_length	state_dim	latent_dim	action_dim	current_index	current_action_mse	full_window_action_mse	current_action_max_abs_error	current_action_norm	next_latent_action_delta	mean_action_delta	latent_norm_mean	decoded_action_finite
run2_subject1_frames_1_180_state_fixture_window_0005	run2_subject1_frames_1_180	21	99	32	29	4	4.5964642135950365e-05	4.311414895837319e-05	0.014960557222366333	1.4179895339183513	0.008853698672505005	0.005533307017191298	0.9419968330434656	True
run2_subject1_frames_1_180_state_fixture_window_0006	run2_subject1_frames_1_180	21	99	32	29	4	4.285001752976687e-05	4.0245993740137045e-05	0.014915525913238525	1.409985287845626	0.002913811546065756	0.003767172113120941	0.9401969530934767	True
run2_subject1_frames_1_180_state_fixture_window_0007	run2_subject1_frames_1_180	21	99	32	29	4	3.626888252526158e-05	3.8103855588212086e-05	0.013482064008712769	1.4123263076988244	0.0027262791090803457	0.0033118529686432196	0.936273534896876	True
run2_subject1_frames_1_180_state_fixture_window_0008	run2_subject1_frames_1_180	21	99	32	29	4	3.816893989645168e-05	3.806013243988811e-05	0.013255774974822998	1.4118480319286417	0.0047578687273259175	0.003658466565353418	0.9338727975584834	True
run2_subject1_frames_1_180_state_fixture_window_0009	run2_subject1_frames_1_180	21	99	32	29	4	3.778347561599338e-05	3.593682046678126e-05	0.013297736644744873	1.41302927248529	0.004428465830038019	0.00508765292183985	0.9330727302077109	True
run2_subject1_frames_1_180_state_fixture_window_0010	run2_subject1_frames_1_180	21	99	32	29	4	3.2769714156890286e-05	4.571799688420598e-05	0.012219011783599854	1.4134678501820128	0.0026999606074924534	0.018037097557598143	0.9363398669966833	True
run2_subject1_frames_1_180_state_fixture_window_0011	run2_subject1_frames_1_180	21	99	32	29	4	7.902717519493984e-05	0.00011089208973681411	0.021836355328559875	1.4101129193562734	0.020799179157431392	0.0565926679337032	0.9401096167490072	True
run2_subject1_frames_1_180_state_fixture_window_0012	run2_subject1_frames_1_180	21	99	32	29	4	0.00017294805007993876	0.00015748369603863226	0.02590116858482361	1.5183163289703698	0.09477026279164982	0.07457137902057595	0.9702539362533862	True
run2_subject1_frames_1_180_state_fixture_window_0013	run2_subject1_frames_1_180	21	99	32	29	4	0.00016419478282496164	0.00016570978836258314	0.03010016679763794	1.6324069080813204	0.056774722099089986	0.07964353663204334	1.0467241974225445	True
run2_subject1_frames_1_180_state_fixture_window_0014	run2_subject1_frames_1_180	21	99	32	29	4	0.00015959337236163675	0.00016272570997244768	0.0282113216817379	1.428577783093186	0.13659820507365578	0.0729697122066657	1.0580664683612948	True
